distribution,sign,shock,variable,time,value
Gaussian,neg,eta_e,rhat,15,0.000829220879893826
Gaussian,neg,eta_e,rAnnualized,1,0.00244882435703469
Gaussian,neg,eta_e,rAnnualized,2,0.00286575335190146
Gaussian,neg,eta_e,rAnnualized,3,0.00313003224986843
Gaussian,neg,eta_e,rAnnualized,4,0.00329341762984485
Gaussian,neg,eta_e,rAnnualized,5,0.00339015333327889
Gaussian,neg,eta_e,rAnnualized,6,0.00344289587340135
Gaussian,neg,eta_e,rAnnualized,7,0.00346663499393726
Gaussian,neg,eta_e,rAnnualized,8,0.00347128771448074
Gaussian,neg,eta_e,rAnnualized,9,0.00346341468568584
Gaussian,neg,eta_e,rAnnualized,10,0.00344735581900435
Gaussian,neg,eta_e,rAnnualized,11,0.0034259816782744
Gaussian,neg,eta_e,rAnnualized,12,0.00340119063937534
Gaussian,neg,eta_e,rAnnualized,13,0.00337423783681907
Gaussian,neg,eta_e,rAnnualized,14,0.00334595281183462
Gaussian,neg,eta_e,rAnnualized,15,0.0033168835195753
Gaussian,neg,eta_e,piAnnualized,1,0.00637812130625677
Gaussian,neg,eta_e,piAnnualized,2,0.00544901618199635
Gaussian,neg,eta_e,piAnnualized,3,0.00482284297884795
Gaussian,neg,eta_e,piAnnualized,4,0.00439721157240004
Gaussian,neg,eta_e,piAnnualized,5,0.0041043743449238
Gaussian,neg,eta_e,piAnnualized,6,0.0038995049712554
Gaussian,neg,eta_e,piAnnualized,7,0.00375294305410261
Gaussian,neg,eta_e,piAnnualized,8,0.00364506277150287
Gaussian,neg,eta_e,piAnnualized,9,0.00356287770713535
Gaussian,neg,eta_e,piAnnualized,10,0.00349779442946856
Gaussian,neg,eta_e,piAnnualized,11,0.0034441261428579
Gaussian,neg,eta_e,piAnnualized,12,0.00339810924175982
Gaussian,neg,eta_e,piAnnualized,13,0.00335725261179292
Gaussian,neg,eta_e,piAnnualized,14,0.00331990709341223
Gaussian,neg,eta_e,piAnnualized,15,0.00328498061661452
Gaussian,neg,eta_z,ahat,1,-3.28994223482527e-19
Gaussian,neg,eta_z,ahat,2,-8.0209506579551e-19
Gaussian,neg,eta_z,ahat,3,-1.05948683346095e-18
Gaussian,neg,eta_z,ahat,4,-1.17945084333304e-18
Gaussian,neg,eta_z,ahat,5,-1.21327784981615e-18
Gaussian,neg,eta_z,ahat,6,-1.19444825116306e-18
Gaussian,neg,eta_z,ahat,7,-1.1447016213142e-18
Gaussian,neg,eta_z,ahat,8,-1.07804849285506e-18
Gaussian,neg,eta_z,ahat,9,-1.00342101997483e-18
Gaussian,neg,eta_z,ahat,10,-9.26423409836338e-19
