distribution,type,parameter,x,density
posterior,deep,OMEGA,0.0123510460521793,0.0634927807870825
posterior,deep,OMEGA,0.0139718346766288,0.0813515162192524
posterior,deep,OMEGA,0.0155926233010782,0.101808598441979
posterior,deep,OMEGA,0.0172134119255276,0.124832726388255
posterior,deep,OMEGA,0.0188342005499771,0.15046142277785
posterior,deep,OMEGA,0.0204549891744265,0.178864055256545
posterior,deep,OMEGA,0.0220757777988759,0.210405665904136
posterior,deep,OMEGA,0.0236965664233253,0.245704520128684
posterior,deep,OMEGA,0.0253173550477748,0.285645877997912
posterior,deep,OMEGA,0.0269381436722242,0.331301096251199
posterior,deep,OMEGA,0.0285589322966737,0.383737650775229
posterior,deep,OMEGA,0.0301797209211231,0.443780566339006
posterior,deep,OMEGA,0.0318005095455725,0.511843360222576
posterior,deep,OMEGA,0.033421298170022,0.587931823756365
posterior,deep,OMEGA,0.0350420867944714,0.671831369551276
posterior,deep,OMEGA,0.0366628754189208,0.763373087246779
posterior,deep,OMEGA,0.0382836640433702,0.862612865715998
posterior,deep,OMEGA,0.0399044526678197,0.969796680246789
posterior,deep,OMEGA,0.0415252412922691,1.08510380629641
posterior,deep,OMEGA,0.0431460299167186,1.20828993708239
posterior,deep,OMEGA,0.044766818541168,1.33842141333001
posterior,deep,OMEGA,0.0463876071656174,1.47386190442398
posterior,deep,OMEGA,0.0480083957900668,1.61255676031803
posterior,deep,OMEGA,0.0496291844145162,1.7525186086939
posterior,deep,OMEGA,0.0512499730389657,1.89233192325399
posterior,deep,OMEGA,0.0528707616634151,2.03151232489401
posterior,deep,OMEGA,0.0544915502878646,2.17064849205107
posterior,deep,OMEGA,0.056112338912314,2.3113342285777
posterior,deep,OMEGA,0.0577331275367634,2.45590857921843
posterior,deep,OMEGA,0.0593539161612129,2.606999767553
posterior,deep,OMEGA,0.0609747047856623,2.76690282425322
posterior,deep,OMEGA,0.0625954934101117,2.9369362325279
posterior,deep,OMEGA,0.0642162820345611,3.1170249097759
posterior,deep,OMEGA,0.0658370706590106,3.30571498034047
posterior,deep,OMEGA,0.06745785928346,3.50062150663296
posterior,deep,OMEGA,0.0690786479079094,3.69908169246657
posterior,deep,OMEGA,0.0706994365323589,3.89870562953487
posterior,deep,OMEGA,0.0723202251568083,4.09762730974258
posterior,deep,OMEGA,0.0739410137812578,4.29444784366513
posterior,deep,OMEGA,0.0755618024057072,4.48799705856654
posterior,deep,OMEGA,0.0771825910301566,4.67708950939532
posterior,deep,OMEGA,0.078803379654606,4.86045872842076
posterior,deep,OMEGA,0.0804241682790554,5.03701161760961
posterior,deep,OMEGA,0.0820449569035049,5.20638175933756
posterior,deep,OMEGA,0.0836657455279543,5.36948479566814
posterior,deep,OMEGA,0.0852865341524038,5.52858873116928
posterior,deep,OMEGA,0.0869073227768532,5.68656492425589
posterior,deep,OMEGA,0.0885281114013026,5.84550652651097
posterior,deep,OMEGA,0.0901489000257521,6.00544716134614
posterior,deep,OMEGA,0.0917696886502015,6.16401270385093
posterior,deep,OMEGA,0.0933904772746509,6.31732958812894
posterior,deep,OMEGA,0.0950112658991003,6.46173211405794
posterior,deep,OMEGA,0.0966320545235498,6.59532590880243
posterior,deep,OMEGA,0.0982528431479992,6.71859158319598
posterior,deep,OMEGA,0.0998736317724487,6.83379895297343
posterior,deep,OMEGA,0.101494420396898,6.94363081230208
posterior,deep,OMEGA,0.103115209021347,7.04975467701862
posterior,deep,OMEGA,0.104735997645797,7.15203867362241
posterior,deep,OMEGA,0.106356786270246,7.24875736067243
posterior,deep,OMEGA,0.107977574894696,7.33762321950049
posterior,deep,OMEGA,0.109598363519145,7.41703001457642
posterior,deep,OMEGA,0.111219152143595,7.48676758182068
posterior,deep,OMEGA,0.112839940768044,7.54780340685257
posterior,deep,OMEGA,0.114460729392494,7.6013566919785
posterior,deep,OMEGA,0.116081518016943,7.6479789004346
posterior,deep,OMEGA,0.117702306641392,7.68731691504778
posterior,deep,OMEGA,0.119323095265842,7.71868171581909
posterior,deep,OMEGA,0.120943883890291,7.74190569405563
posterior,deep,OMEGA,0.122564672514741,7.75774535050378
posterior,deep,OMEGA,0.12418546113919,7.76743664699934
posterior,deep,OMEGA,0.12580624976364,7.77165385752803
posterior,deep,OMEGA,0.127427038388089,7.76957930213019
posterior,deep,OMEGA,0.129047827012538,7.75875227033094
posterior,deep,OMEGA,0.130668615636988,7.73588618095042
posterior,deep,OMEGA,0.132289404261437,7.69825908933326
posterior,deep,OMEGA,0.133910192885887,7.64495944905833
posterior,deep,OMEGA,0.135530981510336,7.57737372567165
posterior,deep,OMEGA,0.137151770134786,7.49873116052535
posterior,deep,OMEGA,0.138772558759235,7.41299906655329
posterior,deep,OMEGA,0.140393347383684,7.32368865868879
posterior,deep,OMEGA,0.142014136008134,7.23308080952215
posterior,deep,OMEGA,0.143634924632583,7.14208775705869
posterior,deep,OMEGA,0.145255713257033,7.05061524338037
posterior,deep,OMEGA,0.146876501881482,6.95807239037701
posterior,deep,OMEGA,0.148497290505932,6.8637015193399
posterior,deep,OMEGA,0.150118079130381,6.76663008117379
posterior,deep,OMEGA,0.15173886775483,6.6658123402572
posterior,deep,OMEGA,0.15335965637928,6.56013408141377
posterior,deep,OMEGA,0.154980445003729,6.44882038391992
posterior,deep,OMEGA,0.156601233628179,6.33201330157807
posterior,deep,OMEGA,0.158222022252628,6.21117505512492
posterior,deep,OMEGA,0.159842810877078,6.08898279923154
posterior,deep,OMEGA,0.161463599501527,5.96862637521245
posterior,deep,OMEGA,0.163084388125976,5.85276043084173
posterior,deep,OMEGA,0.164705176750426,5.74258499492249
posterior,deep,OMEGA,0.166325965374875,5.63748276882929
posterior,deep,OMEGA,0.167946753999325,5.53534799558365
posterior,deep,OMEGA,0.169567542623774,5.43339227503888
posterior,deep,OMEGA,0.171188331248224,5.32902878953638
posterior,deep,OMEGA,0.172809119872673,5.2205004589521
posterior,deep,OMEGA,0.174429908497123,5.10712888192803
posterior,deep,OMEGA,0.176050697121572,4.98924887291299
posterior,deep,OMEGA,0.177671485746021,4.86796195206152
posterior,deep,OMEGA,0.179292274370471,4.74481328215232
posterior,deep,OMEGA,0.18091306299492,4.62144697243938
posterior,deep,OMEGA,0.18253385161937,4.49927623369332
posterior,deep,OMEGA,0.184154640243819,4.37921655308978
posterior,deep,OMEGA,0.185775428868269,4.26153912223922
posterior,deep,OMEGA,0.187396217492718,4.14588109003969
posterior,deep,OMEGA,0.189017006117167,4.03140356727524
posterior,deep,OMEGA,0.190637794741617,3.91705035789122
posterior,deep,OMEGA,0.192258583366066,3.80185587732209
posterior,deep,OMEGA,0.193879371990516,3.68526576760387
posterior,deep,OMEGA,0.195500160614965,3.56742655833855
posterior,deep,OMEGA,0.197120949239415,3.44935491314736
posterior,deep,OMEGA,0.198741737863864,3.33285877994832
posterior,deep,OMEGA,0.200362526488313,3.22013010111869
posterior,deep,OMEGA,0.201983315112763,3.11308708742668
posterior,deep,OMEGA,0.203604103737212,3.01272803576707
posterior,deep,OMEGA,0.205224892361662,2.91881481762215
posterior,deep,OMEGA,0.206845680986111,2.83004485280512
posterior,deep,OMEGA,0.208466469610561,2.74458384632795
posterior,deep,OMEGA,0.21008725823501,2.66063873718776
posterior,deep,OMEGA,0.211708046859459,2.5768113941679
posterior,deep,OMEGA,0.213328835483909,2.49222056976118
posterior,deep,OMEGA,0.214949624108358,2.40656441368792
posterior,deep,OMEGA,0.216570412732808,2.32023587498749
posterior,deep,OMEGA,0.218191201357257,2.23437833109019
posterior,deep,OMEGA,0.219811989981707,2.15064728972752
posterior,deep,OMEGA,0.221432778606156,2.07060157799863
posterior,deep,OMEGA,0.223053567230605,1.99497269042549
posterior,deep,OMEGA,0.224674355855055,1.92325520683616
posterior,deep,OMEGA,0.226295144479504,1.85392466649963
posterior,deep,OMEGA,0.227915933103954,1.78520517526711
posterior,deep,OMEGA,0.229536721728403,1.71596286754035
posterior,deep,OMEGA,0.231157510352853,1.64623707249845
posterior,deep,OMEGA,0.232778298977302,1.57715988223232
posterior,deep,OMEGA,0.234399087601751,1.5103707118073
posterior,deep,OMEGA,0.236019876226201,1.44727608731661
posterior,deep,OMEGA,0.23764066485065,1.38852311248611
